model,precision,status,reason
TheBloke/Mistral-7B-Instruct-v0.2-AWQ,fp16,not_applicable,baseline_reference_precision
TheBloke/Mistral-7B-Instruct-v0.2-AWQ,int8,skipped,missing_fp16_baseline
TheBloke/Mistral-7B-Instruct-v0.2-AWQ,int4,skipped,missing_fp16_baseline
google/gemma-2b-it,fp16,not_applicable,baseline_reference_precision
google/gemma-2b-it,int8,computed,
google/gemma-2b-it,int4,computed,
mistralai/Mistral-7B-Instruct-v0.2,fp16,not_applicable,baseline_reference_precision
mistralai/Mistral-7B-Instruct-v0.2,int8,computed,
mistralai/Mistral-7B-Instruct-v0.2,int4,computed,
