model_family,quant_method,seed,temperature,refusal_rate,n_prompts
Mistral-7B-Instruct-v0.2,bitsandbytes,11,0.7,0.0,3
Mistral-7B-Instruct-v0.2,awq,13,0.7,0.0,3
Mistral-7B-Instruct-v0.2,bitsandbytes,13,0.7,0.0,3
Mistral-7B-Instruct-v0.2,awq,17,0.7,0.013333333333333334,75
Mistral-7B-Instruct-v0.2,bitsandbytes,17,0.7,0.02666666666666667,75
Mistral-7B-Instruct-v0.2,awq,22,0.7,0.0,15
Mistral-7B-Instruct-v0.2,bitsandbytes,22,0.7,0.0,3
Mistral-7B-Instruct-v0.2,awq,33,0.7,0.0,15
Mistral-7B-Instruct-v0.2,bitsandbytes,33,0.7,0.3333333333333333,3
gemma-2b-it,bitsandbytes,11,0.7,0.3333333333333333,3
gemma-2b-it,bitsandbytes,22,0.7,0.3333333333333333,3
gemma-2b-it,bitsandbytes,33,0.7,0.0,3
gemma-2b-it,bitsandbytes,44,0.7,0.0,3
gemma-2b-it,bitsandbytes,55,0.7,0.0,3
